Vbase,degree,n_nodes,fraction_nodes
220,1,54,0.391304347826087
220,2,30,0.21739130434782608
220,3,45,0.32608695652173914
220,4,7,0.050724637681159424
220,6,1,0.007246376811594203
220,7,1,0.007246376811594203
300,1,19,0.19
300,2,46,0.46
300,3,23,0.23
300,4,6,0.06
300,5,3,0.03
300,6,2,0.02
300,7,1,0.01
380,1,28,0.15730337078651685
380,2,68,0.38202247191011235
380,3,37,0.20786516853932585
380,4,30,0.16853932584269662
380,5,12,0.06741573033707865
380,6,2,0.011235955056179775
380,7,1,0.0056179775280898875
